total_biomass_g,common_name,species,site,season,year,reach,abundance,mean_depth_cm_sc
9.6,Largemouth Bass,Micropterus salmoides,Ritas,Summer,y1,Lit,1,-1.116226481
25.5,Mottled Sculpin,Cottus bairdii,Ritas,Summer,y1,Lit,7,-1.116226481
15.4,Rainbow Darter,Etheostoma caeruleum,Ritas,Summer,y1,Lit,8,-1.116226481
62.3,Striped Shiner,Luxilus chrysocephalus,Ritas,Summer,y1,Lit,6,-1.116226481
0.5,Western Blacknose Dace,Rhinichthys obtusus,Ritas,Summer,y1,Lit,1,-1.116226481
7.8,White Sucker,Catostomus commersonii,Ritas,Summer,y1,Lit,2,-1.116226481
89.4,Central Stoneroller,Campostoma anomalum,Ritas,Summer,y1,Unlit,28,-1.158882813
116.2,Creek Chub,Semotilus atromaculatus,Ritas,Summer,y1,Unlit,43,-1.158882813
1.2,Fantail Darter,Etheostoma flabellare,Ritas,Summer,y1,Unlit,3,-1.158882813
1.5,Greenside Darter,Etheostoma blennioides,Ritas,Summer,y1,Unlit,1,-1.158882813
8.7,Johnny Darter,Etheostoma nigrum,Ritas,Summer,y1,Unlit,12,-1.158882813
63.2,Mottled Sculpin,Cottus bairdii,Ritas,Summer,y1,Unlit,20,-1.158882813
1.2,Rainbow Darter,Etheostoma caeruleum,Ritas,Summer,y1,Unlit,2,-1.158882813
5,Western Blacknose Dace,Rhinichthys obtusus,Ritas,Summer,y1,Unlit,2,-1.158882813
2.6,Yellow Bullhead,Ameiurus natalis,Ritas,Summer,y1,Unlit,1,-1.158882813
3.1,Central Stoneroller,Campostoma anomalum,Sycamore,Summer,y1,Lit,2,-0.80341338
80.7,Creek Chub,Semotilus atromaculatus,Sycamore,Summer,y1,Lit,77,-0.80341338
24.1,Western Blacknose Dace,Rhinichthys obtusus,Sycamore,Summer,y1,Lit,27,-0.80341338
4.4,Central Stoneroller,Campostoma anomalum,Sycamore,Summer,y1,Unlit,3,-0.43372517
150.4,Creek Chub,Semotilus atromaculatus,Sycamore,Summer,y1,Unlit,36,-0.43372517
75.7,Western Blacknose Dace,Rhinichthys obtusus,Sycamore,Summer,y1,Unlit,32,-0.43372517
146.7,Central Stoneroller,Campostoma anomalum,VFW,Summer,y1,Lit,42,-0.537319119
510.3,Creek Chub,Semotilus atromaculatus,VFW,Summer,y1,Lit,117,-0.537319119
91,Mottled Sculpin,Cottus bairdii,VFW,Summer,y1,Lit,27,-0.537319119
105.9,Western Blacknose Dace,Rhinichthys obtusus,VFW,Summer,y1,Lit,62,-0.537319119
17.4,White Sucker,Catostomus commersonii,VFW,Summer,y1,Lit,4,-0.537319119
251.4,Central Stoneroller,Campostoma anomalum,VFW,Summer,y1,Unlit,25,-0.464193979
329.7,Creek Chub,Semotilus atromaculatus,VFW,Summer,y1,Unlit,33,-0.464193979
49.6,Green Sunfish,Lepomis cyanellus,VFW,Summer,y1,Unlit,3,-0.464193979
103.8,Mottled Sculpin,Cottus bairdii,VFW,Summer,y1,Unlit,34,-0.464193979
14.1,Rainbow Darter,Etheostoma caeruleum,VFW,Summer,y1,Unlit,5,-0.464193979
27.7,Western Blacknose Dace,Rhinichthys obtusus,VFW,Summer,y1,Unlit,11,-0.464193979
8.4,Central Stoneroller,Campostoma anomalum,Adena,Summer,y2,Lit,2,-0.620600529
987.8,Creek Chub,Semotilus atromaculatus,Adena,Summer,y2,Lit,66,-0.620600529
33.8,Green Sunfish,Lepomis cyanellus,Adena,Summer,y2,Lit,1,-0.620600529
35.4,Western Blacknose Dace,Rhinichthys obtusus,Adena,Summer,y2,Lit,13,-0.620600529
36.9,Central Stoneroller,Campostoma anomalum,Adena,Summer,y2,Unlit,8,-0.485183602
853.7,Creek Chub,Semotilus atromaculatus,Adena,Summer,y2,Unlit,84,-0.485183602
21.6,Western Blacknose Dace,Rhinichthys obtusus,Adena,Summer,y2,Unlit,8,-0.485183602
6.5,Central Stoneroller,Campostoma anomalum,Bill Moose,Summer,y2,Lit,5,-0.891434383
711.9,Creek Chub,Semotilus atromaculatus,Bill Moose,Summer,y2,Lit,246,-0.891434383
119.4,Green Sunfish,Lepomis cyanellus,Bill Moose,Summer,y2,Lit,7,-0.891434383
108,Western Blacknose Dace,Rhinichthys obtusus,Bill Moose,Summer,y2,Lit,89,-0.891434383
7,Central Stoneroller,Campostoma anomalum,Bill Moose,Summer,y2,Unlit,8,-0.1195579
336.5,Creek Chub,Semotilus atromaculatus,Bill Moose,Summer,y2,Unlit,139,-0.1195579
17.9,Green Sunfish,Lepomis cyanellus,Bill Moose,Summer,y2,Unlit,2,-0.1195579
