"","eco_id","Ncells","plants","mamph","mbirds","mmamm","NPP_mean","NPP_cv_inter","Feat_mean","Feat_cv_inter","area_km2","biome","flor_realms","x","y","biome_FR","plants_log","mamph_log","mbirds_log","mmamm_log","NPP_log_sc","Feat_log_sc","area_km2_log_sc","NPP_cv_sc","Feat_cv_sc"
"1",10117,40,4800,31.375,307.55,63.775,1068.62763050983,0.0627844034903827,0.0533951374254253,1.58653048403936,32596,"Trop/Subtrop Moist","Australasia",145.727576364574,-17.5507807723311,"AA:Trop/Subtrop Moist",8.47637119689598,3.44601139745195,5.72863767565438,4.15536126402788,1.09740978370279,1.13445191105009,-0.652831202137694,-0.520990566845011,-0.409736473799234
"2",10402,329,3700,30.3799392097264,290.227963525836,53.0911854103343,911.699606784075,0.069356846239546,0.025463628938176,1.52540785805741,221786,"Temp Broad","Australasia",151.748272998895,-29.5987420509274,"AA:Temp Broad",8.21608809863232,3.41378249616913,5.67066669530414,3.97201091466302,0.892223926287003,0.802785252861328,0.679473749498728,-0.368070028693626,-0.476267748040148
"3",10409,429,2400,14.3776223776224,246.995337995338,33.5967365967366,857.925306848742,0.0829234404681396,0.0203753195417238,1.89195286787833,272353,"Temp Broad","Australasia",147.012428740343,-36.0038236178875,"AA:Temp Broad",7.78322401633604,2.66567299631515,5.50936946193705,3.51442893715509,0.813682350497363,0.702933102072352,0.822177028532767,-0.0524170866300165,-0.0772877274953245
"4",10701,191,2500,20.8743455497382,202.340314136126,46.0104712041885,728.901873042216,0.0504806350561631,0.156257297524548,0.596412098404858,157509,"Trop Grass","Australasia",133.34646607874,-13.0344675523863,"AA:Trop Grass",7.82404601085629,3.03852091933472,5.30995100329273,3.82886900545787,0.60312465301902,1.61541554752656,0.441690366336846,-0.807261434779227,-1.48746893027233
"5",10702,486,1600,19.0246913580247,229.960905349794,43.6152263374486,596.894118048139,0.11647957543677,0.0200805046653254,1.46145609958471,341561,"Trop Grass","Australasia",148.843798831147,-24.5013406222102,"AA:Trop Grass",7.37775890822787,2.94573768064768,5.43790931773549,3.77540631731224,0.344995845687444,0.696404785390793,0.97949984113331,0.728331017769481,-0.54587850040527
"6",10703,153,3100,21.2091503267974,227.320261437908,40.3660130718954,770.672866657258,0.0550033809748337,0.133730520604362,0.850246674962592,115896,"Trop Grass","Australasia",142.960269050258,-13.9331678385379,"AA:Trop Grass",8.03915739047324,3.05443270774575,5.42635986651584,3.69798817031218,0.675117838994776,1.54568543606545,0.228531563423095,-0.702031040814495,-1.21117291789593
"7",10704,485,1600,13.2701030927835,175.855670103093,27.5670103092784,477.305486255667,0.103248320574789,0.0632279671260646,1.28767147837005,358465,"Trop Grass","Australasia",139.208386823147,-17.4643537151368,"AA:Trop Grass",7.37775890822787,2.58551361717479,5.16966360237567,3.31661977915851,0.0561399953151177,1.21016158430498,1.01306221881238,0.420480391886157,-0.73504105857643
"8",10705,173,1600,16.971098265896,227.312138728324,43.7861271676301,629.910546474265,0.092900697302026,0.0332911102458357,1.4678422716987,128067,"Trop Grass","Australasia",144.783971487095,-18.4982829387498,"AA:Trop Grass",7.37775890822787,2.83151179523663,5.4263241334287,3.77931703587979,0.41455141299985,0.922843953279368,0.297915024621808,0.179723008391236,-0.538927225628704
"9",10706,474,2000,16.8586497890295,196.913502109705,35.7004219409283,491.329429777574,0.0777908249235505,0.111229640311077,0.791950765419185,346656,"Trop Grass","Australasia",126.603629238569,-16.5276431242707,"AA:Trop Grass",7.60090245954208,2.82486386567939,5.28276455673082,3.57516250778937,0.0935521500757028,1.46316620708252,0.989787574460429,-0.1718372719641,-1.27462734385761
"10",10707,639,900,7.70109546165884,160.965571205008,26.2472613458529,307.045998900385,0.194673818563155,0.00640983200811989,2.38060959886972,459496,"Trop Grass","Australasia",141.171015305083,-21.5018747045321,"AA:Trop Grass",6.80239476332431,2.04136258648844,5.08119049866954,3.26756165391312,-0.513811155005113,0.184923808784994,1.18558176792792,2.5476706751213,0.454609494800941
"11",10709,302,1200,12.4072847682119,155.615894039735,26.387417218543,427.805351505299,0.104283990285948,0.0670254404679186,1.12991973367611,224881,"Trop Grass","Australasia",130.863475666161,-17.2167153299942,"AA:Trop Grass",7.09007683577609,2.51828378141882,5.04739075331259,3.27288727602288,-0.0853124641982734,1.2362864410657,0.689102650197293,0.444577242269182,-0.906752015355562
"12",10802,374,800,11.879679144385,186.970588235294,24.7459893048128,321.19441730648,0.165691647259941,0.0027627183351555,2.54219265576877,253515,"Temp Grass","Australasia",145.229023281204,-27.8513885850131,"AA:Temp Grass",6.68461172766793,2.47482930552138,5.23095132232025,3.20866342759307,-0.455610509534147,-0.192049138996235,0.7723761625084,1.87334464420269,0.630490790778132
"13",10803,501,900,12.3073852295409,220.764471057884,25.6167664670659,505.767764053596,0.1428126175821,0.00367324793650793,1.70469024447063,321999,"Temp Grass","Australasia",146.792289425912,-32.1495133898893,"AA:Temp Grass",6.80239476332431,2.51019950736123,5.3970963913916,3.2432470772256,0.130970298734159,-0.0644556716345626,0.938521734408097,1.34101995698311,-0.281120935785307
"14",11001,21,1000,15.2857142857143,235.904761904762,37.6190476190476,917.664245940091,0.0693345388439068,0.133874521554723,3.34480641978751,11999,"Mont Grass","Australasia",147.890189779644,-36.601302874467,"AA:Mont Grass",6.90775527898214,2.72691868540659,5.46342817232588,3.62751050773764,0.900648694502443,1.54616749073356,-1.34719594770035,-0.36858905321405,1.50412662669962
