Block,Pool,Pool ID,Size,Fish,Acilius fraternus,Acilius mediatus,Agabus gagates,Berosus exiguus,Berosus infuscatus,Berosus pantherinus,Berosus peregrinus,Berosus striatus,Bidessonotus inconspicuus,Celina angustata,Copelatus chevrolati,Copelatus glyphicus,Coptotomus loticus,Cybister fimbriolatus,Cymbiodyta chamberlaini,Cymbiodyta vindicata,Derallus altus,Desmopachria leechi,Enochrus consors,Enochrus ochraceus,Enochrus perplexus,Enochrus pygmaeus,Helochares maculicollis,Helocombus bifidus,Helopohorus linearis,Hydraena marginicollis,Hydrocanthus oblongus,Hydrochara soror,Hydrochus rugosus,Hydrochus neosquamifer,Hydrocolus deflatus,Hydrocolus oblitus,Hydroporus niger,Ilybius biguttulus,Laccophilus fasciatus,Laccophilus proximus,Matus bicarinatus,Neoporus blanchardi,Neoporus undulatus,Paracymus,Peltodytes dunavani,Peltodytes sexmaculatus,Platambus astrictovittatus,Rhantus calidus,Thermonectus basillaris,Tropisternus blatchleyi,Tropisternus collaris,Tropisternus lateralis,Tropisternus natator,Uvarus granarius,Uvarus lacustris,Buenoa,Hesperocorixa vulgaris,Limnoporus canaliculatus,Notonecta indica,Notonecta irrorata,Ranatra buenoi,Sigara
5,4,4-May,Large,Predator,0,0,0,0,3,0,0,0,0,0,0,8.2,0,0.2,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.6,0,0.6,0,0,0,3.6,3.4,8,0.2,0,0,0,1.4,0.4,0.8,0.4,0,0.2
6,5,5-Jun,Large,Predator,0,0,0,0,3.2,0,0,0,0,0.2,0,7,0.2,0,0.6,0,1.4,0,0,1.2,0,0,0.6,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0.6,0,0.4,0.2,1.8,0,0.2,0,0,0,3.6,3.4,1.8,0,0,0,0,0.2,0.4,0,0,0,0.2
1,1,1-Jan,Medium,Control,0,0,0,0.9,12.4,0,0,0,0,0.4,0,14.7,0,0,2.7,0,0,0,0,6.2,0,0,2.2,0,1.3,0,0,0,0,0,0,0.9,0,0,1.3,0.9,0,0.9,0,10.2,0,0,0,0,0,1.3,3.1,2.2,0,1.3,0.9,0,0.4,0.9,0,2.7,0,0
2,3,3-Feb,Medium,Control,0,0,0.4,0,4,0,0,0,0,0,0,31.1,0,0,6.2,0,0.4,0,0,14.7,0,0.4,0,0,0,0,0,0,0,0,0,0.4,0,0.4,6.2,0,0,3.6,0,9.3,0,0,0,0,0,0,0.9,0.4,0,0,0,0,0,0,0,4,0,0
3,2,2-Mar,Medium,Control,0,0,0,0.4,1.3,0,0,0.4,0,0,0,11.6,0,0,6.7,0,0,0,0,8.4,0,0,0.9,0,0,0,0,0.9,0,0,0,0.4,0,0,3.6,0,0,3.6,0,0.9,0,0.4,0,0,0,0,0.4,0,0,0,0,0,0.9,0,0,7.6,0,0.4
4,4,4-Apr,Medium,Control,0,0,0,0,10.7,0,0.4,0,0,0,0,4.4,0,0,0,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0.9,0.9,1.3,0,0.4,2.7,0,0,0,0,0,0,0
5,5,5-May,Medium,Control,0,0,0,2.7,60.9,0,0,0,0.4,0,0,52.9,0,0,0,0,0.9,0.9,0,4.9,0.4,0,1.8,0.4,0.4,0,0,0.4,0.4,0,0,0,0.4,0,6.2,1.3,0,0.9,0,16.4,0,0.4,0.4,0,0.4,4.9,12.9,23.6,0,0.4,1.3,0,0.9,0.4,0.4,0.9,0,0.9
6,4,4-Jun,Medium,Control,0,0,0,0,20.9,0.4,0,0,0.4,0,0,62.7,0,0,0.4,0,0,0,0,6.7,0.4,0.4,1.3,0,0.4,0,0,0.4,0.4,0.4,0,0,0,0,0.4,0,0,0,0,5.8,0,0,0,0,0,0.4,4,14.2,0.4,0.4,0,0,0.4,0,0,0,0,0
1,4,4-Jan,Medium,Predator,0,0,0,0,0.9,0,0,0.4,0,0,0,1.3,0,0,0.4,0,0.9,0,0,1.8,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.9,0,0,0,0,0,3.6,3.6,0.4,0,0,0,0,0,0.4,0,0,0,0
2,6,6-Feb,Medium,Predator,0,0,0,0,1.3,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1.3,0,0,0,0
3,5,5-Mar,Medium,Predator,0,0,0,0,1.8,0,0,0.4,0,0,0,17.3,0,0,1.8,0,0.9,0,0,1.8,0,0,0,0,0.9,0,0,0.4,0.4,0,0,0,0,0,0.4,0.4,0,0,0,0.4,0,0,0,0,0,3.1,1.8,1.3,0,0,0,0,0,0.4,0,0.9,0.4,0.4
