tank,block,initial_density,svl,phenotype,mass_g,gr,survival
36,Block 5,28,34.79,Metamorph,1.628,0.273937008,0.35714285714285715
36,Block 5,28,41.01,Metamorph,3.059,0.172310924,0.35714285714285715
36,Block 5,28,44.36,Metamorph,3.174,0.180325203,0.35714285714285715
36,Block 5,28,42.961,Paedomorph,3.751,0.132187692,0.35714285714285715
36,Block 5,28,45.14,Paedomorph,4.313,0.138892308,0.35714285714285715
36,Block 5,28,47.915,Larva,4.431,0.147430769,0.35714285714285715
36,Block 5,28,49.241,Larva,5.135,0.151510769,0.35714285714285715
37,Block 5,18,32.931,Metamorph,1.969,0.281461538,0.6666666666666666
37,Block 5,18,34.838,Metamorph,1.712,0.254291971,0.6666666666666666
37,Block 5,18,46.93,Paedomorph,4.108,0.1444,0.6666666666666666
37,Block 5,18,43.523,Paedomorph,3.232,0.133916923,0.6666666666666666
37,Block 5,18,47.636,Paedomorph,4.276,0.146572308,0.6666666666666666
37,Block 5,18,45.769,Larva,3.52,0.140827692,0.6666666666666666
37,Block 5,18,42.609,Paedomorph,3.489,0.131104615,0.6666666666666666
37,Block 5,18,42.485,Paedomorph,3.256,0.130723077,0.6666666666666666
37,Block 5,18,43.15,Paedomorph,3.644,0.132769231,0.6666666666666666
37,Block 5,18,44.391,Paedomorph,3.909,0.136587692,0.6666666666666666
37,Block 5,18,44.765,Larva,3.765,0.137738462,0.6666666666666666
37,Block 5,18,42.621,Paedomorph,3.162,0.131141538,0.6666666666666666
39,Block 5,13,45.717,Metamorph,3.64,0.368685484,0.15384615384615385
39,Block 5,13,62.312,Paedomorph,13.96,0.191729231,0.15384615384615385
